parameter,Estimate,Est.Error,Q2.5,Q97.5
"r_fml[Yoldiidae,pocn_temp_scaled]",-0.03679476795166053,1.5193909997224337,-3.283574930723468,3.032173927854929
"r_tna_trimmed[idonearca.capax,Intercept]",0.017609477306652594,2.4548960435118303,-5.135522091862552,5.282874308123164
"r_tna_trimmed[crenella.elegantula,Intercept]",-0.02701649636556361,2.547260637800836,-5.403456015771758,5.0492811651378595
"r_tna_trimmed[tenuipteria.argentea,Intercept]",0.048205948163868854,2.45973148052746,-5.0274406913534895,5.420620800245375
"r_tna_trimmed[camptonectes.bubonis,Intercept]",0.030967434307588314,2.525275531898732,-5.273824615029895,5.534497473741904
"r_tna_trimmed[anomia.ornata,Intercept]",0.04244363113486909,2.591464500734447,-5.368133641608624,5.284503429131637
"r_tna_trimmed[limatula.acutilineata,Intercept]",-0.014513168692689475,2.395863222409055,-5.2191883447742695,5.28469239440812
"r_tna_trimmed[gryphaeostrea.vomer,Intercept]",0.0031313702709518934,2.5048590179982804,-5.183770538272866,5.419360505234868
"r_tna_trimmed[crassatella.vadosa,Intercept]",0.05767038353115831,2.5131036821339543,-4.977778196061533,5.4427138746684385
"r_tna_trimmed[scambula.perplana,Intercept]",-0.01561552342933759,2.514938979896976,-5.3710651410496055,5.339396365708618
"r_tna_trimmed[leptosolen.biplicata,Intercept]",0.010495667519206674,2.444737676363509,-5.2486206015062296,5.183405362856205
"r_tna_trimmed[aenona.eufaulensis,Intercept]",-0.010476807664656846,2.536995691848038,-5.480504632209402,5.316779841433932
"r_tna_trimmed[veniella.conradi,Intercept]",-0.0015963632080285538,2.5412612209397887,-5.089413245980723,5.445063323645974
"r_tna_trimmed[caestocorbula.crassiplica,Intercept]",-0.00580102379299236,2.493357712408041,-5.33379987860751,5.100151265831636
"r_tna_trimmed[anatimya.anteradiata,Intercept]",0.020207452127275184,2.5469852410976634,-5.157179814322412,5.292334928997502
"r_tna_trimmed[liopistha.protexta,Intercept]",0.002998894861701962,2.547985431349184,-5.144549160491623,5.033550131667809
"r_tna_trimmed[brevicardium.fragile,Intercept]",-0.046645969298683164,2.5438567570435486,-5.530296553959102,5.273851217932381
"r_tna_trimmed[crenella.serica,Intercept]",0.025313804944737586,2.4283289828481176,-5.151614517798626,5.257359037644675
"r_tna_trimmed[exogyra.costata,Intercept]",0.04121642892748315,2.538893402247261,-5.223552894296677,5.455365269544832
"r_tna_trimmed[pholadomya.occidentalis,Intercept]",-0.08271138335881388,2.3920362057581426,-5.382135329722505,4.868472999535754
"r_tna_trimmed[pinna.laqueata,Intercept]",-0.034414412582736434,2.5041799365831787,-5.64676925643187,5.173402722539612
"r_tna_trimmed[lima.pelagica,Intercept]",0.021990705370226318,2.479096377026035,-5.133193517169847,5.49672703167633
"r_tna_trimmed[pinna.cretacea,Intercept]",0.03916017791250334,2.484868412826268,-5.2625076547484415,5.419911404730148
"r_tna_trimmed[entolium.membranaceum,Intercept]",0.040787780264305316,2.5715570355530804,-5.2202254706711715,5.357747346207373
"r_tna_trimmed[camptonectes.virgatus,Intercept]",0.09145314764560966,2.4823454406530168,-4.723598955743854,5.502951292644905
"r_tna_trimmed[dhondtichlamys.pulchellus,Intercept]",-0.017774799236813257,2.5581143115670426,-5.442547114391756,5.184903211929486
"r_tna_trimmed[merklinia.variabilis,Intercept]",0.037838229442534274,2.557238362109843,-5.373723689577713,5.527582554549647
"r_tna_trimmed[neithea.sexcostata,Intercept]",-0.002561689231272239,2.486057397295179,-5.176514607044404,5.255337304358163
"r_tna_trimmed[spondylus.fimbriatus,Intercept]",0.04977608110965244,2.467327304522707,-5.227421807474569,5.454323484618535
"r_tna_trimmed[newaagia.obliquus,Intercept]",0.004758356539695347,2.521553242894031,-5.283452964371036,5.404068068331593
"r_tna_trimmed[atreta.nilssoni,Intercept]",0.015874163307498104,2.5141268542852453,-5.2935995778347635,5.321393453198358
"r_tna_trimmed[plagiostoma.hoperi,Intercept]",-0.029525757923938734,2.5298849727579342,-5.306254277325458,5.316146042240902
"r_tna_trimmed[limatula.decussata,Intercept]",-0.01590613411729502,2.5264676202241074,-5.30112394156381,5.5656629950645335
"r_tna_trimmed[pycnodonte.vesicularis,Intercept]",0.042836844089669056,2.5075697694427004,-5.21163241941272,5.382752016884616
"r_tna_trimmed[agerostrea.ungulatus,Intercept]",0.0013819406395672736,2.4590539257761876,-5.34764844252008,5.187043201760875
"r_tna_trimmed[portlandia.arctica,Intercept]",0.0030052747735706464,2.5415216045392355,-5.455667486132454,5.440694283153459
"r_tna_trimmed[barbatia.geinitzi,Intercept]",-0.004676696407747182,2.5697996614946317,-5.276720782788601,5.2672817279664965
"r_tna_trimmed[inoceramus.balticus,Intercept]",-0.03149811701692977,2.39744899666589,-5.175443803605809,4.988564980843705
